entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,symbol
16,31,15,0.0,181.12,signal,2020-02-21,0.49038461538461514,0.08589951377633716,16.722408026755794,1.0739224171358552,0.0,2.0,0.11098114770291428,0.6666666666666666,4,2020-01-31,APG,0.375,moderate,False,False,False,5.65,-1.75,4.3,balanced,False,APG
54,67,13,8.3,197.53,signal,2020-04-20,0.2799999999999997,0.17786561264822143,4.268292682926813,1.5527691302360032,2.0,1.0,-0.0026278419556486216,1.0,4,2020-03-25,APG,0.34,weak,False,False,True,-1.17,-13.8,-6.59,balanced,False,APG
80,93,13,-5.07,39.87,signal,2020-05-28,0.6938775510204076,0.027173913043478326,8.862161734451618,1.4591614457831326,4.0,3.0,0.14851908663166513,0.016666666666666666,5,2020-05-11,APG,0.7124999999999999,strong,False,False,False,2.03,-0.9,2.26,balanced,False,APG
103,115,12,-4.79,169.22,signal,2020-06-29,0.37878787878787873,0.07550644567219156,13.059586292065461,1.0415517392703548,0.0,2.0,-0.008552400700947885,0.4666666666666667,4,2020-06-11,APG,0.375,moderate,False,False,False,2.26,-5.57,0.86,balanced,False,APG
126,143,17,-2.63,218.58,signal,2020-09-04,0.47441860465116253,0.16496350364963516,-18.724469947481047,1.356561776844717,1.0,0.0,0.1421708789219488,0.7333333333333333,3,2020-08-11,APG,0.31875,strong,False,False,False,25.0,-4.99,20.31,balanced,False,APG
204,212,8,-2.93,300.45,fast_exit_loss,2020-12-10,0.6282051282051279,0.047231270358306196,27.83018867924524,1.004874673227741,2.0,3.0,-0.029063800826967526,0.6,4,2020-11-30,APG,0.25,weak,False,False,False,5.14,-3.15,1.61,balanced,False,APG
222,227,5,10.0,,end,2020-12-31,0.404494382022472,0.08548387096774197,30.3238798456117,1.255791291943075,2.0,3.0,-0.07652564061670404,0.8833333333333333,5,2020-12-24,APG,0.375,moderate,False,False,False,4.2,-2.21,2.67,balanced,False,APG
2,11,9,4.39,,end,2020-12-31,0.8195121951219512,0.09024390243902443,1.2780357850019897,2.3839208940162053,3.0,3.0,-0.18343575985213878,1.0,4,2020-12-17,APS,0.25,weak,False,False,False,0.0,0.0,0.0,balanced,False,APS
35,45,10,-6.92,156.53,signal,2020-03-12,0.23214285714285773,0.13522012578616344,-9.848484848484837,1.0605315745500155,1.0,2.0,0.0631237817342116,0.23333333333333334,3,2020-02-27,ASM,0.4,weak,False,False,True,-6.47,-6.47,-2.45,balanced,False,ASM
78,90,12,-1.81,62.26,signal,2020-06-18,0.7575757575757575,0.048338368580060465,-5.9550561797752835,1.230974360505178,2.0,2.0,0.036983774135252,0.15,3,2020-06-02,ASM,0.675,strong,False,False,False,4.75,0.0,11.34,balanced,False,ASM
92,102,10,-6.07,215.2,signal,2020-07-06,0.5113636363636364,0.12427745664739889,4.300220750551873,0.8527658874002574,2.0,3.0,0.05416659126707431,0.31666666666666665,4,2020-06-22,ASM,0.31875,strong,False,False,False,8.81,-8.47,2.99,balanced,False,ASM
