entry_date,exit_date,holding_days,pnl_pct,entry_price,exit_price,exit_reason,symbol
2021-07-09,2021-07-13,2,-8.33,34.08,31.41,rule_sell,DGC
2021-07-23,2021-10-19,60,64.0,35.83,58.94,rule_sell,DGC
2021-11-18,2021-12-03,11,-6.88,65.65,61.46,rule_sell,DGC
2021-12-09,2021-12-20,7,-5.17,68.13,64.95,rule_sell,DGC
2022-02-08,2022-04-25,53,49.6,57.55,86.38,rule_sell,DGC
2022-05-24,2022-06-21,20,12.97,87.01,98.73,rule_sell,DGC
2022-08-09,2022-09-19,27,-1.77,80.61,79.59,rule_sell,DGC
2022-10-17,2022-11-07,15,-15.78,70.36,59.61,rule_sell,DGC
2022-11-30,2022-12-26,18,-6.2,51.57,48.63,rule_sell,DGC
2023-01-05,2023-01-09,2,-5.93,53.95,51.02,rule_sell,DGC
2023-01-19,2023-02-07,8,-7.68,53.06,49.25,rule_sell,DGC
2023-03-10,2023-04-24,31,-1.08,46.59,46.32,rule_sell,DGC
2023-05-30,2023-08-18,58,30.55,48.57,63.65,rule_sell,DGC
2023-08-25,2023-10-03,25,13.53,72.05,82.16,rule_sell,DGC
2023-11-08,2023-12-14,26,1.64,83.97,85.77,rule_sell,DGC
2023-12-29,2024-01-10,7,-2.51,88.05,86.28,rule_sell,DGC
2024-02-06,2024-04-01,34,25.34,89.17,112.21,rule_sell,DGC
2024-05-02,2024-06-04,23,2.67,112.11,115.66,rule_sell,DGC
2024-06-18,2024-06-27,7,-5.27,121.25,115.47,rule_sell,DGC
2024-07-08,2024-07-17,7,-3.25,118.73,115.47,rule_sell,DGC
2024-08-16,2024-10-04,33,1.94,103.34,105.86,rule_sell,DGC
2024-10-14,2024-10-17,3,-1.87,108.38,106.89,rule_sell,DGC
2024-11-07,2024-11-19,8,-3.25,104.93,102.04,rule_sell,DGC
2024-12-03,2025-01-03,22,4.59,105.3,110.66,rule_sell,DGC
2025-02-04,2025-02-10,4,-4.0,106.83,103.09,rule_sell,DGC
2025-02-20,2025-03-13,15,-1.77,105.68,104.34,rule_sell,DGC
2025-04-23,2025-05-22,18,-2.71,87.0,85.08,rule_sell,DGC
2025-05-27,2025-07-29,45,10.07,87.95,97.25,rule_sell,DGC
2025-08-08,2025-08-15,5,-4.13,103.0,99.26,rule_sell,DGC
2025-09-15,2025-09-23,6,-4.01,95.33,91.98,rule_sell,DGC
2025-10-13,2025-10-20,5,-9.78,91.88,83.35,rule_sell,DGC
2025-10-28,2025-11-25,20,-0.5,90.06,90.06,rule_sell,DGC
2025-12-04,2025-12-05,1,-2.57,92.94,91.02,rule_sell,DGC
2026-01-15,2026-03-17,38,1.73,67.3,68.8,rule_sell,DGC
2020-11-30,2020-12-11,9,-14.36,3.68,3.17,rule_sell,AAS
2020-12-21,2021-01-25,24,49.36,3.51,5.26,rule_sell,AAS
2021-02-24,2021-03-24,20,6.92,4.58,4.92,rule_sell,AAS
2021-04-01,2021-04-20,13,-3.54,5.6,5.43,rule_sell,AAS
2021-05-21,2021-07-06,32,57.95,5.03,7.97,rule_sell,AAS
2021-08-03,2021-10-04,42,25.83,7.52,9.5,rule_sell,AAS
