symbol,entry_idx,exit_idx,entry_price,exit_price,holding_days,trade_return_pct,max_dd_in_trade_pct,max_profit_in_trade_pct,sub_waves,is_win,entry_wave_pos,entry_dist_from_peak_pct,entry_recent_5d_ret_pct,exit_wave_pos,after_exit_max_up_pct,after_exit_max_down_pct,after_exit_5d_return_pct,after_exit_10d_return_pct,missed_profit_pct,gave_back_pct
AAT,527,528,6.04,5.79,1,-4.14,-4.14,0.0,1,False,0.69,-4.58,5.78,0.43,3.63,-11.23,3.63,-11.23,4.14,4.14
AAT,532,534,6.0,5.78,2,-3.67,-3.67,0.0,1,False,0.94,-0.66,-0.66,0.6,-6.92,-11.59,-10.03,-10.73,3.67,3.67
AAT,581,583,4.99,4.98,2,-0.2,-0.2,1.4,2,False,1.0,0.0,1.63,0.76,2.41,-1.41,0.0,-1.41,1.6,1.6
AAT,587,588,5.04,4.98,1,-1.19,-1.19,0.0,1,False,0.9,-0.4,-0.4,0.62,2.41,-2.61,-1.41,-1.2,1.19,1.19
AAT,591,592,5.1,5.0,1,-1.96,-1.96,0.0,1,False,1.0,0.0,2.0,0.57,-1.4,-3.0,-1.4,-2.8,1.96,1.96
AAT,606,620,5.1,5.41,14,6.08,-0.98,10.78,3,True,1.0,0.0,4.94,0.7,0.74,-5.18,-4.99,-2.03,4.71,4.71
AAT,621,622,5.45,5.37,1,-1.47,-1.47,0.0,1,False,0.75,-3.54,-2.68,0.65,-1.3,-4.47,-4.47,-2.61,1.47,1.47
AAT,634,639,5.49,5.31,5,-3.28,-3.28,0.0,1,False,0.69,-2.83,4.77,0.41,1.69,-0.19,1.69,0.75,3.28,3.28
AAT,640,645,5.38,5.32,5,-1.12,-1.12,0.37,3,False,0.69,-2.0,-1.28,0.53,0.56,-2.44,-0.38,0.19,1.49,1.49
AAT,763,766,3.94,3.87,3,-1.78,-1.78,1.27,2,False,0.87,-2.23,11.93,0.77,0.78,-6.98,-4.13,-4.91,3.05,3.05
AAT,831,835,3.55,3.42,4,-3.66,-3.66,0.0,1,False,1.0,0.0,4.72,0.46,2.05,-1.17,-0.58,0.88,3.66,3.66
AAT,842,851,3.49,3.48,9,-0.29,-1.15,1.72,5,False,0.7,-1.69,2.05,0.59,0.86,-2.01,0.57,-2.01,2.01,2.01
AAT,856,861,3.5,3.41,5,-2.57,-2.57,0.29,2,False,0.71,-1.41,0.57,0.0,0.59,-3.23,0.29,-3.23,2.86,2.86
AAT,922,934,3.03,3.1,12,2.31,0.0,3.96,6,True,0.67,-6.48,2.02,0.77,0.0,-1.94,-0.65,-0.65,1.65,1.65
AAT,947,948,3.08,3.06,1,-0.65,-0.65,0.0,1,False,0.36,-2.22,0.65,0.18,10.46,0.65,8.82,9.8,0.65,0.65
AAT,951,974,3.09,3.44,23,11.33,0.0,14.89,12,True,0.5,-1.59,0.65,0.62,1.74,-2.33,-2.33,-2.03,3.56,3.56
AAT,975,977,3.49,3.47,2,-0.57,-0.57,0.29,2,False,0.79,-1.69,-0.29,0.68,0.29,-3.17,0.29,-0.58,0.86,0.86
AAT,982,983,3.48,3.43,1,-1.44,-1.44,0.0,1,False,0.63,-1.97,0.29,0.37,7.87,-1.75,0.87,6.12,1.44,1.44
AAT,987,1008,3.45,3.79,21,9.86,0.0,14.49,12,True,0.47,-2.82,-0.86,0.67,1.85,-1.06,0.0,-0.79,4.64,4.64
AAT,1010,1011,3.84,3.8,1,-1.04,-1.04,0.0,1,False,0.74,-2.78,-0.26,0.64,1.58,-3.68,-0.53,-2.63,1.04,1.04
AAT,1017,1018,3.86,3.76,1,-2.59,-2.59,0.0,1,False,0.55,-2.28,1.85,0.05,-1.6,-9.31,-9.31,-5.85,2.59,2.59
AAV,290,295,7.56,7.14,5,-5.56,-5.56,0.0,3,False,0.92,-1.18,7.08,0.61,-1.12,-15.27,-5.88,-15.27,5.56,5.56
AAV,377,379,4.28,4.12,2,-3.74,-3.74,0.0,1,False,0.85,-2.06,0.0,0.58,30.58,8.01,12.14,30.58,3.74,3.74
AAV,380,392,4.45,4.7,12,5.62,0.0,20.9,6,True,1.0,0.0,3.97,0.5,8.94,0.0,8.94,0.0,15.28,15.28
AAV,396,402,5.12,4.7,6,-8.2,-8.2,0.0,3,False,0.79,-4.83,6.89,0.19,3.62,-1.7,3.62,1.91,8.2,8.2
AAV,434,455,4.79,7.22,21,50.73,0.0,54.28,10,True,1.0,0.0,11.92,0.93,1.25,-11.63,-10.39,-11.63,3.55,3.55
AAV,489,515,6.64,11.01,26,65.81,0.0,92.32,12,True,1.0,0.0,12.93,0.63,6.81,-1.54,-0.82,6.81,26.51,26.51
