entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,symbol,model
58,67,9,-2.32,45.09,signal,2021-04-20,0.7770270270270271,0.02556158017041054,1.1712214166202202,1.0704575800160505,2.0,3.0,0.015432502496731615,0.21666666666666667,3,2021-04-07,ACB,0.7,strong,False,False,False,4.28,-0.69,3.53,ACB,v16
76,122,46,26.42,78.03,signal,2021-07-09,0.7234042553191499,0.029862174578866675,7.008450704225346,1.3820177586817257,3.0,3.0,-0.028745136535533504,0.23333333333333334,5,2021-05-06,ACB,0.7,strong,False,False,False,2.35,-1.36,1.98,ACB,v16
190,199,9,-1.06,186.33,signal,2021-10-28,0.6944444444444444,0.021854304635761594,18.35714285714286,1.007987303692825,0.0,2.0,-0.030154108711749627,0.31666666666666665,4,2021-10-15,ACB,0.35,weak,False,False,False,2.37,-1.24,1.35,ACB,v16
206,221,15,2.3,191.89,signal,2021-11-29,0.7870967741935484,0.021072796934865905,9.60728273525983,1.245115694681961,1.0,2.0,-0.03451587636971321,0.6,4,2021-11-08,ACB,0.35,moderate,False,False,False,2.09,-1.39,2.99,ACB,v16
3,11,8,-7.48,0.0,stop_loss,2021-01-19,0.7810383747178332,0.03455646597791232,1.5950979446106004,0.793543143486371,0.0,2.0,-0.032214197104003986,0.48333333333333334,3,2021-01-07,BID,1.0,weak,False,False,False,0.0,0.0,0.0,BID,v16
32,41,9,-2.79,106.66,signal,2021-03-09,0.6516464471403816,0.0813435855928773,32.075533661740586,1.0085372604545972,0.0,2.0,-0.018306760665437443,0.7333333333333333,4,2021-02-24,BID,0.48999999999999994,weak,False,False,False,2.28,-7.42,2.14,BID,v16
48,57,9,-4.57,100.15,signal,2021-03-31,0.924107142857142,0.006581494386372502,14.902189101071194,1.5585033651199545,3.0,1.0,-0.021651558441054645,0.05,2,2021-03-18,BID,0.5,moderate,False,True,False,3.94,0.0,4.03,BID,v16
62,71,9,-8.48,42.85,signal,2021-04-22,0.7454545454545456,0.03267211201866977,-4.930083457690806,1.3443391449458932,1.0,2.0,-0.004669574451123988,0.55,4,2021-04-08,BID,0.7,strong,False,False,False,4.3,-1.68,2.57,BID,v16
97,106,9,-6.46,102.27,signal,2021-06-14,0.8878143133462285,0.021052631578947305,-1.4303847332253383,1.2699442753579093,1.0,2.0,-0.08820069317483982,1.0,3,2021-06-01,BID,0.5,strong,False,False,False,2.76,-1.43,9.87,BID,v16
117,126,9,-10.44,43.78,signal,2021-07-12,0.5668604651162796,0.05534918276374436,19.201773835920214,0.8175222512939456,1.0,3.0,0.006881549611007537,0.35,4,2021-06-29,BID,0.7,strong,False,False,False,4.22,-4.3,2.13,BID,v16
191,200,9,-1.75,186.4,signal,2021-10-26,0.6201550387596881,0.021397379912663845,4.642857142857096,1.056126808284965,1.0,2.0,0.006730438958080729,0.05,4,2021-10-13,BID,0.35,weak,False,False,False,1.24,-0.87,0.82,BID,v16
218,230,12,-1.8,62.52,signal,2021-12-07,0.7626262626262623,0.036877206747744265,-8.34500466853413,1.043950913290885,1.0,2.0,-0.018501976416260276,0.7,2,2021-11-19,BID,0.63,strong,False,False,False,2.78,-0.2,4.73,BID,v16
7,18,11,-7.34,108.54,signal,2021-01-28,0.7792207792207786,0.02881355932203399,3.8252508361203184,0.9334880510198228,2.0,4.0,-0.04522844036325752,0.75,3,2021-01-13,DGC,0.48999999999999994,moderate,False,False,False,2.31,-1.34,0.79,DGC,v16
40,49,9,-1.54,106.15,signal,2021-03-23,0.9346938775510203,0.020025031289111407,-8.958942693099317,0.8025685870161059,0.0,2.0,-0.047161287199365645,0.9,2,2021-03-10,DGC,0.5,strong,False,False,False,3.01,-0.46,14.8,DGC,v16
83,125,42,21.04,128.47,peak_protect_dist,2021-07-12,0.8148148148148145,0.03228256741359671,-3.5495659226038043,1.3175976744447064,1.0,2.0,0.01883683467973396,0.65,3,2021-05-13,DGC,0.5,strong,False,False,False,3.13,-2.84,7.58,DGC,v16
140,199,59,57.37,142.54,peak_protect_dist,2021-10-29,0.9156214367160773,0.01965471447543166,1.4753294054815456,0.816533806430872,2.0,3.0,-0.009086281503506932,1.0,2,2021-08-02,DGC,0.5,strong,False,False,False,0.61,0.0,12.24,DGC,v16
206,225,19,-2.25,49.41,signal,2021-12-06,0.4108983799705444,0.06488240064882413,10.509348850468676,1.2973960779708784,2.0,2.0,0.0049438985330053295,0.05,5,2021-11-09,DGC,0.7,strong,False,False,False,2.05,-2.99,0.99,DGC,v16
232,241,9,-6.47,43.5,signal,2021-12-28,0.6726078799249535,0.0520274299344066,6.182204323696169,1.1027969487831457,0.0,2.0,-0.015078603813407622,0.7333333333333333,5,2021-12-15,DGC,0.7,strong,False,False,False,2.37,-3.36,3.47,DGC,v16
