entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_efficiency,future_upside_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,model
105,109,4,-5.78,1.91,-302.4,8.59,stop_loss,109,0.680272108843538,0.044890162368672284,13.568773234200748,1.5231126122936858,2.0,3.0,0.04915575113554174,0.31666666666666665,5,105,AAA,1.0,lightgbm
172,179,7,100.74,102.62,98.2,3.26,signal,179,0.6714285714285714,0.02361396303901442,2.322580645161281,0.683379990493063,1.0,2.0,0.010810437502519445,0.016666666666666666,4,172,AAA,0.5,lightgbm
182,188,6,-1.06,1.62,-65.3,0.8,signal,188,0.5882352941176479,0.02828282828282822,-4.596032897919635,1.077802357804061,1.0,2.0,-0.02293164109173302,0.03333333333333333,3,182,AAA,1.0,lightgbm
190,195,5,-1.85,0.0,0.0,2.02,signal,195,0.5,0.03206412825651305,-0.2089864158829613,1.12176016933233,1.0,2.0,0.03055210763513351,0.16666666666666666,4,190,AAA,1.0,lightgbm
200,205,5,-4.17,0.0,0.0,13.97,stop_loss,205,0.42187499999999895,0.037260825780463344,5.673274094326665,0.729261412640914,1.0,1.0,-0.007139055860087062,0.26666666666666666,3,200,AAA,1.0,lightgbm
223,247,24,52.39,60.1,87.2,11.66,signal,247,0.7529411764705882,0.04022988505747126,33.97129186602872,1.9528368903851498,3.0,3.0,-0.038572557279351,1.0,4,223,AAA,0.7,lightgbm
249,254,5,-0.72,3.2,-22.7,14.29,signal,254,0.6910112359550566,0.046296296296296204,-16.666666666666636,1.0520623886169402,1.0,3.0,0.0017560066022196535,0.6666666666666666,3,249,AAA,1.0,lightgbm
284,291,7,55.7,62.16,89.6,7.08,signal,291,0.7588652482269505,0.0835380835380835,42.96804680468044,1.6916639357387988,2.0,2.0,1.1024238679941822,1.0,4,284,AAS,0.7,lightgbm
297,302,5,95.42,100.16,95.3,0.0,signal,302,0.8650793650793651,0.0230040595399188,6.342368612896813,1.2569128138905006,1.0,2.0,0.06434955892379604,1.0,4,297,AAV,0.5,lightgbm
388,396,8,8.98,18.5,48.5,6.89,trailing_stop,396,0.6440677966101696,0.09251101321585901,10.134087575948051,1.4339947534636919,1.0,1.0,0.35407043283744855,0.7,4,388,AAV,1.0,lightgbm
403,407,4,-1.81,0.0,0.0,3.62,stop_loss,407,0.6622516556291391,0.09960937499999996,0.6617134896679886,0.9069152671903095,1.0,2.0,-0.008112909689983901,0.6166666666666667,4,403,AAV,1.0,lightgbm
441,449,8,39.31,44.51,88.3,57.95,signal,449,0.903954802259887,0.033730158730158714,32.95025728987992,1.4366517302461526,3.0,3.0,0.21452717298535917,1.0,4,441,AAV,0.7,lightgbm
452,462,10,40.28,40.63,99.1,-2.33,signal,462,0.8511904761904762,0.04646840148698885,0.24383247274812447,1.0713308120887868,1.0,3.0,-0.0646335171577888,0.48333333333333334,3,452,AAV,1.0,lightgbm
498,516,18,91.99,91.99,100.0,0.0,end,516,0.9125874125874126,0.03004807692307692,23.9039827107132,1.7870610885310028,3.0,4.0,0.08912288819684466,0.7833333333333333,4,498,AAV,0.7,lightgbm
4,13,9,94.08,104.51,90.0,0.0,signal,13,0.8760330578512394,0.02334630350194558,2.9901056515176947,1.1525363057649123,0.0,2.0,-0.0338559630913695,0.85,4,4,AAA,0.5,lightgbm
